class,order,family,genus,specie,taxon_id,count
Chilopoda,Lithobiomorpha,Lithobiidae,Eupolybothrus,Eupolybothrus longicornis,495627,4
Insecta,Hemiptera,Liviidae,Psyllopsis,Psyllopsis fraxini,207580,87
Insecta,Diptera,Sphaeroceridae,Sphaerocera,Sphaerocera curvipes,397313,23
Insecta,Coleoptera,Lucanidae,Dorcus,Dorcus parallelipipedus,123920,12282
Insecta,Diptera,Calliphoridae,Calliphora,Calliphora vicina,119115,2648
Insecta,Coleoptera,Lycidae,Dictyoptera,Dictyoptera aurora,67754,1038
Insecta,Lepidoptera,Erebidae,Tyria,Tyria jacobaeae,51781,13000
Insecta,Lepidoptera,Lyonetiidae,Leucoptera,Leucoptera laburnella,469901,44
Insecta,Diptera,Keroplatidae,Keroplatus,Keroplatus tipuloides,918509,7
Insecta,Lepidoptera,Sphingidae,Deilephila,Deilephila elpenor,55996,7774
Insecta,Coleoptera,Elmidae,Stenelmis,Stenelmis canaliculata,1050819,8
Insecta,Lepidoptera,Lasiocampidae,Euthrix,Euthrix potatoria,125012,6963
Insecta,Coleoptera,Melyridae,Anthocomus,Anthocomus equestris,320043,1362
Insecta,Diptera,Phoridae,Anevrina,Anevrina thoracica,1028510,1
Insecta,Hymenoptera,Megastigmidae,Bootanomyia,Bootanomyia stigmatizans,1093084,2
Insecta,Diptera,Rhinophoridae,Rhinophora,Rhinophora lepida,625003,297
Insecta,Coleoptera,Eucnemidae,Anelastidius,Anelastidius feisthameli,1013279,15
Insecta,Coleoptera,Meloidae,Mylabris,Mylabris variabilis,208983,1355
Insecta,Psocodea,Menoponidae,Menopon,Menopon gallinae,330588,3
Insecta,Hymenoptera,Thynnidae,Methocha,Methocha articulata,1000393,4
Insecta,Diptera,Muscidae,Stomoxys,Stomoxys calcitrans,122223,2454
Insecta,Hymenoptera,Pteromalidae,Callitula,Callitula pyrrhogaster,988528,14
Insecta,Psocodea,Mesopsocidae,Cyrtopsochus,Cyrtopsochus pustulatus,1021956,2
Insecta,Hemiptera,Berytidae,Neides,Neides tipularius,554915,225
Arachnida,Araneae,Tetragnathidae,Meta,Meta menardi,224958,654
Insecta,Coleoptera,Ripiphoridae,Macrosiagon,Macrosiagon bimaculata,909567,34
Insecta,Psocodea,Psocidae,Psococerastis,Psococerastis gibbosa,546156,99
Insecta,Lepidoptera,Gelechiidae,Chrysoesthia,Chrysoesthia sexguttella,216840,443
Insecta,Coleoptera,Scirtidae,Contacyphon,Contacyphon padi,552209,68
Arachnida,Araneae,Mysmenidae,Mysmena,Mysmena leucoplagiata,786709,1
Arachnida,Araneae,Sparassidae,Olios,Olios argelasius,336380,1184
Insecta,Neuroptera,Hemerobiidae,Drepanepteryx,Drepanepteryx phalaenoides,357358,370
Insecta,Diptera,Micropezidae,Rainieria,Rainieria calceata,490950,230
Insecta,Hemiptera,Veliidae,Velia,Velia caprai,361066,38
Insecta,Diptera,Cecidomyiidae,Rabdophaga,Rabdophaga rosaria,494431,1226
Insecta,Diptera,Milichiidae,Leptometopa,Leptometopa latipes,672699,4
Insecta,Diptera,Lauxaniidae,Meiosimyza,Meiosimyza decempunctata,566486,87
Arachnida,Araneae,Thomisidae,Synema,Synema globosum,245656,6292
Insecta,Trichoptera,Molannidae,Molanna,Molanna angustata,520746,2
Insecta,Lepidoptera,Momphidae,Coccidiphila,Coccidiphila danilevskyi,959859,7
Insecta,Hymenoptera,Torymidae,Torymus,Torymus bedeguaris,846057,12
Insecta,Lepidoptera,Tineidae,Euplocamus,Euplocamus anthracinalis,462042,326
Insecta,Coleoptera,Mordellidae,Tomoxia,Tomoxia bucephala,460538,109
Insecta,Hymenoptera,Mutillidae,Tropidotilla,Tropidotilla litoralis,630613,289
Insecta,Diptera,Piophilidae,Piophila,Piophila casei,326643,9
Insecta,Coleoptera,Mycetophagidae,Litargus,Litargus connexus,549581,99
Insecta,Hymenoptera,Myrmosidae,Paramyrmosa,Paramyrmosa brunnipes,1082441,11
Insecta,Trichoptera,Leptoceridae,Leptocerus,Leptocerus tineiformis,546206,159
Entognatha,Neelipleona,Neelidae,Megalothorax,Megalothorax minimus,203388,6
Diplopoda,Julida,Nemasomatidae,Thalassisobates,Thalassisobates littoralis,232456,4
Arachnida,Opiliones,Nemastomatidae,Mitostoma,Mitostoma chrysomelas,525998,239
Insecta,Orthoptera,Trigonidiidae,Trigonidium,Trigonidium cicindeloides,358064,598
Insecta,Diptera,Sepsidae,Sepsis,Sepsis punctum,129431,38
Insecta,Plecoptera,Nemouridae,Nemoura,Nemoura avicularis,1000980,4
Arachnida,Pseudoscorpiones,Neobisiidae,Roncocreagris,Roncocreagris cambridgei,1421375,1
Entognatha,Poduromorpha,Tullbergiidae,Stenaphorura,Stenaphorura denisi,1050581,1
Insecta,Hemiptera,Nepidae,Ranatra,Ranatra linearis,362340,644
Insecta,Diptera,Pipunculidae,Cephalops,Cephalops varipes,900202,1
Arachnida,Araneae,Linyphiidae,Drapetisca,Drapetisca socialis,360718,862
Arachnida,Araneae,Nesticidae,Kryptonesticus,Kryptonesticus eremita,781018,5
Insecta,Trichoptera,Polycentropodidae,Plectrocnemia,Plectrocnemia conspersa,546250,11
Insecta,Hymenoptera,Pamphiliidae,Acantholyda,Acantholyda erythrocephala,212218,115
Arachnida,Araneae,Dictynidae,Brigittea,Brigittea civica,783413,205
Insecta,Lepidoptera,Noctuidae,Autographa,Autographa gamma,55651,17598
Insecta,Hemiptera,Notonectidae,Anisops,Anisops sardeus,578745,81
Insecta,Coleoptera,Anthicidae,Anthicus,Anthicus antherinus,547575,291
Arachnida,Araneae,Titanoecidae,Titanoeca,Titanoeca quadriguttata,733188,52
Insecta,Diptera,Sarcophagidae,Wohlfahrtia,Wohlfahrtia vigil,554039,43
Insecta,Lepidoptera,Hesperiidae,Thymelicus,Thymelicus lineola,58484,12463
Insecta,Coleoptera,Ciidae,Cis,Cis castaneus,547802,13
Insecta,Coleoptera,Staphylinidae,Creophilus,Creophilus maxillosus,82463,977
Arachnida,Araneae,Oecobiidae,Uroctea,Uroctea durandi,213088,379
Insecta,Coleoptera,Oedemeridae,Nacerdes,Nacerdes carniolica,502346,557
Insecta,Lepidoptera,Autostichidae,Stibaromacha,Stibaromacha ratella,355086,141
Insecta,Coleoptera,Phalacridae,Tolyphus,Tolyphus granulatus,1241304,1
Insecta,Trichoptera,Phryganeidae,Oligostomis,Oligostomis reticulata,871564,63
Diplopoda,Julida,Julidae,Pachyiulus,Pachyiulus flavipes,874749,1037
Insecta,Odonata,Gomphidae,Gomphus,Gomphus vulgatissimus,57454,2202
Arachnida,Araneae,Oonopidae,Silhouettella,Silhouettella loricatula,781044,10
Entognatha,Entomobryomorpha,Entomobryidae,Entomobrya,Entomobrya nivalis,389008,587
Insecta,Coleoptera,Gyrinidae,Gyrinus,Gyrinus distinctus,992267,3
Insecta,Hemiptera,Ortheziidae,Newsteadia,Newsteadia floccosa,1001053,4
Malacostraca,Isopoda,Agnaridae,Protracheoniscus,Protracheoniscus politus,899951,31
Insecta,Coleoptera,Melandryidae,Orchesia,Orchesia undulata,176492,86
Insecta,Hemiptera,Oxycarenidae,Metopoplax,Metopoplax ditomoides,468913,146
Insecta,Coleoptera,Scarabaeidae,Cetonia,Cetonia aurata,52402,16321
Insecta,Diptera,Pallopteridae,Temnosira,Temnosira saltuum,877307,45
Insecta,Hemiptera,Pentatomidae,Dolycoris,Dolycoris baccarum,51666,15535
Insecta,Lepidoptera,Papilionidae,Iphiclides,Iphiclides podalirius,62749,10246
Insecta,Raphidioptera,Inocelliidae,Inocellia,Inocellia crassicornis,903435,27
Arachnida,Araneae,Leptonetidae,Leptoneta,Leptoneta proserpina,788865,1
Insecta,Ephemeroptera,Leptophlebiidae,Habroleptoides,Habroleptoides confusa,779369,3
Arachnida,Mesostigmata,Parasitidae,Poecilochirus,Poecilochirus necrophori,85388,1
Insecta,Diptera,Pediciidae,Tricyphona,Tricyphona immaculata,774875,5
Insecta,Coleoptera,Haliplidae,Haliplus,Haliplus lineatocollis,498536,10
Insecta,Diptera,Nycteribiidae,Nycteribia,Nycteribia schmidlii,678727,1
Arachnida,Trombidiformes,Penthaleidae,Linopenthaleus,Linopenthaleus irki,1370013,4
Insecta,Lepidoptera,Geometridae,Camptogramma,Camptogramma bilineata,61972,10279
Insecta,Plecoptera,Perlidae,Dinocras,Dinocras cephalotes,482056,16
Insecta,Plecoptera,Perlodidae,Isoperla,Isoperla grammatica,482058,15
Arachnida,Opiliones,Phalangiidae,Opilio,Opilio canestrinii,527576,7304
Insecta,Lepidoptera,Notodontidae,Thaumetopoea,Thaumetopoea pityocampa,61293,3411
Insecta,Hymenoptera,Proctotrupidae,Proctotrupes,Proctotrupes gravidator,905054,5
Insecta,Lepidoptera,Epermeniidae,Epermenia,Epermenia chaerophyllella,347430,29
Insecta,Hemiptera,Aphrophoridae,Aphrophora,Aphrophora alni,213962,1902
Insecta,Hymenoptera,Crabronidae,Mellinus,Mellinus arvensis,127757,1056
Arachnida,Araneae,Philodromidae,Tibellus,Tibellus oblongus,153855,605
Malacostraca,Isopoda,Philosciidae,Chaetophiloscia,Chaetophiloscia sicula,899412,185
Insecta,Coleoptera,Silphidae,Oiceoptoma,Oiceoptoma thoracicum,460842,2712
Insecta,Diptera,Ulidiidae,Otites,Otites porcus,1346799,215
Insecta,Diptera,Agromyzidae,Phytoliriomyza,Phytoliriomyza melampyga,336013,1413
Arachnida,Sarcoptiformes,Phytoptidae,Fragariocoptes,Fragariocoptes setiger,1081696,21
Insecta,Lepidoptera,Pieridae,Gonepteryx,Gonepteryx rhamni,52771,19218
Insecta,Hemiptera,Piesmatidae,Parapiesma,Parapiesma quadratum,510333,24
Arachnida,Araneae,Pisauridae,Dolomedes,Dolomedes fimbriatus,121778,752
Insecta,Coleoptera,Laemophloeidae,Laemophloeus,Laemophloeus monilis,703009,13
Insecta,Diptera,Platystomatidae,Rivellia,Rivellia syngenesiae,451405,131
Insecta,Coleoptera,Anthribidae,Platyrhinus,Platyrhinus resinosus,495405,680
Branchiopoda,Anomopoda,Chydoridae,Acroperus,Acroperus harpae,203472,14
Insecta,Lepidoptera,Plutellidae,Eidophasia,Eidophasia messingiella,522736,60
Insecta,Diptera,Dolichopodidae,Liancalus,Liancalus virens,322842,160
Insecta,Hymenoptera,Vespidae,Vespa,Vespa crabro,54327,22498
Insecta,Diptera,Polleniidae,Morinia,Morinia doronici,708957,7
Diplopoda,Polydesmida,Polydesmidae,Archipolydesmus,Archipolydesmus ribauti,1045768,1
Insecta,Coleoptera,Curculionidae,Otiorhynchus,Otiorhynchus sulcatus,226718,5043
Insecta,Lepidoptera,Lycaenidae,Lycaena,Lycaena phlaeas,55655,25328
Insecta,Diptera,Chironomidae,Chironomus,Chironomus plumosus,367431,33
Insecta,Coleoptera,Dryopidae,Dryops,Dryops gracilis,1284618,2
Malacostraca,Isopoda,Porcellionidae,Porcellionides,Porcellionides pruinosus,126264,842
Insecta,Psocodea,Elipsocidae,Elipsocus,Elipsocus hyalinus,971799,33
Insecta,Hymenoptera,Evaniidae,Brachygaster,Brachygaster minutus,1392311,40
Arachnida,Pseudoscorpiones,Chernetidae,Chernes,Chernes hahni,518555,6
Insecta,Orthoptera,Acrididae,Oedipoda,Oedipoda caerulescens,326052,9684
Insecta,Lepidoptera,Opostegidae,Opostega,Opostega salaciella,522490,15
Insecta,Diptera,Psilidae,Loxocera,Loxocera albiseta,547128,32
Arachnida,Araneae,Pholcidae,Spermophorides,Spermophorides elevata,786739,3
Insecta,Lepidoptera,Psychidae,Taleporia,Taleporia tubulosa,483083,168
Insecta,Hemiptera,Psyllidae,Arytaina,Arytaina genistae,318779,30
Insecta,Psocodea,Psyllipsocidae,Dorypteryx,Dorypteryx longipennis,307433,9
Insecta,Lepidoptera,Pyralidae,Endotricha,Endotricha flammealis,205154,5582
Insecta,Coleoptera,Pyrochroidae,Schizotus,Schizotus pectinicornis,211626,784
Insecta,Hemiptera,Pyrrhocoridae,Scantius,Scantius aegyptius,209594,2384
Insecta,Hemiptera,Reduviidae,Rhynocoris,Rhynocoris iracundus,461120,1017
Insecta,Diptera,Rhagionidae,Chrysopilus,Chrysopilus cristatus,70404,403
Insecta,Coleoptera,Cantharidae,Cantharis,Cantharis rustica,337544,6018
Insecta,Hemiptera,Aphalaridae,Craspedolepta,Craspedolepta nebulosa,207543,4
Insecta,Coleoptera,Monotomidae,Monotoma,Monotoma picipes,225234,9
Insecta,Hemiptera,Rhyparochromidae,Xanthochilus,Xanthochilus saturnius,325933,748
Insecta,Diptera,Mycetophilidae,Neoempheria,Neoempheria striata,1046738,5
Insecta,Coleoptera,Cerambycidae,Stictoleptura,Stictoleptura rubra,53258,8156
Insecta,Hemiptera,Saldidae,Chartoscirta,Chartoscirta cincta,554158,21
Insecta,Coleoptera,Salpingidae,Vincenzellus,Vincenzellus ruficollis,131986,78
Arachnida,Araneae,Salticidae,Menemerus,Menemerus semilimbatus,157990,6700
Insecta,Hymenoptera,Sapygidae,Monosapyga,Monosapyga clavicornis,704797,249
Insecta,Lepidoptera,Saturniidae,Aglia,Aglia tau,125099,1221
Branchiopoda,Anomopoda,Daphniidae,Simocephalus,Simocephalus serrulatus,230924,20
Insecta,Diptera,Scathophagidae,Parallelomma,Parallelomma vittatum,861112,163
Insecta,Diptera,Scatopsidae,Coboldia,Coboldia fuscipes,387751,28
Chilopoda,Geophilomorpha,Schendylidae,Hydroschendyla,Hydroschendyla submarina,575707,6
Insecta,Hymenoptera,Scoliidae,Megascolia,Megascolia maculata,322036,785
Arachnida,Araneae,Gnaphosidae,Trachyzelotes,Trachyzelotes pedestris,507471,385
Insecta,Lepidoptera,Scythrididae,Enolmis,Enolmis acanthella,325568,182
Arachnida,Araneae,Zodariidae,Zodarion,Zodarion rubidum,60919,19
Insecta,Coleoptera,Corylophidae,Corylophus,Corylophus cassidoides,1039644,11
Insecta,Trichoptera,Sericostomatidae,Notidobia,Notidobia ciliaris,546262,7
Insecta,Thysanoptera,Thripidae,Frankliniella,Frankliniella intonsa,389677,3
Insecta,Ephemeroptera,Ephemerellidae,Ephemerella,Ephemerella notata,482031,2
Insecta,Lepidoptera,Sesiidae,Pyropteron,Pyropteron chrysidiforme,359917,636
Insecta,Diptera,Conopidae,Conops,Conops quadrifasciatus,70205,341
Branchiopoda,Ctenopoda,Sididae,Penilia,Penilia avirostris,472067,4
Insecta,Hemiptera,Corixidae,Cymatia,Cymatia coleoptrata,507360,19
Insecta,Diptera,Lonchaeidae,Lamprolonchaea,Lamprolonchaea smaragdi,469582,41
Insecta,Plecoptera,Chloroperlidae,Isoptena,Isoptena serricornis,778439,2
Arachnida,Opiliones,Sironidae,Parasiro,Parasiro coiffaiti,525941,13
Insecta,Diptera,Xylomyidae,Xylomya,Xylomya maculata,713061,7
Insecta,Hymenoptera,Sphecidae,Sceliphron,Sceliphron spirifex,320607,572
Arachnida,Araneae,Theridiidae,Enoplognatha,Enoplognatha ovata,219195,3953
Insecta,Hymenoptera,Stephanidae,Megischus,Megischus anomalipes,1204585,1
Insecta,Lepidoptera,Nepticulidae,Ectoedemia,Ectoedemia argyropeza,218886,102
Insecta,Diptera,Anthomyzidae,Anthomyza,Anthomyza neglecta,1200260,1
Insecta,Diptera,Rhiniidae,Rhyncomya,Rhyncomya columbina,627171,81
Branchiopoda,Anomopoda,Macrothricidae,Lathonura,Lathonura rectirostris,1110969,3
Insecta,Diptera,Heleomyzidae,Tephrochlamys,Tephrochlamys rufiventris,336918,61
Insecta,Diptera,Tachinidae,Eriothrix,Eriothrix rufomaculata,472363,1702
Insecta,Hemiptera,Cixiidae,Cixius,Cixius cunicularius,735025,66
Insecta,Diptera,Hybotidae,Hybos,Hybos culiciformis,479772,108
Insecta,Plecoptera,Taeniopterygidae,Brachyptera,Brachyptera risi,451406,5
Insecta,Coleoptera,Trogossitidae,Nemozoma,Nemozoma elongatum,701940,22
Insecta,Coleoptera,Teredidae,Anommatus,Anommatus duodecimstriatus,408396,1
Insecta,Coleoptera,Tetratomidae,Hallomenus,Hallomenus binotatus,458145,27
Insecta,Orthoptera,Tetrigidae,Paratettix,Paratettix meridionalis,466417,429
Insecta,Orthoptera,Tettigoniidae,Pholidoptera,Pholidoptera griseoaptera,55359,11204
Insecta,Diptera,Chloropidae,Camarota,Camarota curvipennis,734872,99
Insecta,Diptera,Therevidae,Acrosathe,Acrosathe annulata,504051,33
Insecta,Lepidoptera,Drepanidae,Habrosyne,Habrosyne pyritoides,322132,1894
Insecta,Lepidoptera,Douglasiidae,Klimeschia,Klimeschia transversella,993479,2
Insecta,Trichoptera,Psychomyiidae,Psychomyia,Psychomyia pusilla,475530,8
Insecta,Diptera,Tipulidae,Tanyptera,Tanyptera atrata,464052,425
Insecta,Lepidoptera,Tischeriidae,Coptotriche,Coptotriche marginea,522514,95
Entognatha,Entomobryomorpha,Tomoceridae,Pogonognathellus,Pogonognathellus longicornis,705936,74
Insecta,Hemiptera,Pseudococcidae,Phenacoccus,Phenacoccus aceris,60938,6
Malacostraca,Isopoda,Trachelipodidae,Porcellium,Porcellium conspersum,896136,7
Insecta,Coleoptera,Cleridae,Thanasimus,Thanasimus formicarius,130787,1238
Insecta,Hymenoptera,Diapriidae,Aneurhynchus,Aneurhynchus nodicornis,1429208,1
Insecta,Archaeognatha,Machilidae,Lepismachilis,Lepismachilis y-signata,546130,101
Insecta,Lepidoptera,Hepialidae,Hepialus,Hepialus humuli,205224,795
Branchiopoda,Notostraca,Triopsidae,Lepidurus,Lepidurus apus,466503,79
Insecta,Hemiptera,Triozidae,Lauritrioza,Lauritrioza alacris,888158,155
Insecta,Coleoptera,Erotylidae,Triplax,Triplax russica,494606,90
Insecta,Hemiptera,Cydnidae,Cydnus,Cydnus aterrimus,363434,1098
Insecta,Coleoptera,Throscidae,Aulonothroscus,Aulonothroscus brevicollis,988148,1
Arachnida,Trombidiformes,Trombidiidae,Allothrombium,Allothrombium fuliginosum,502421,5
Insecta,Diptera,Sciomyzidae,Coremacera,Coremacera marginata,338531,598
Insecta,Hemiptera,Aphididae,Brevicoryne,Brevicoryne brassicae,326910,673
Malacostraca,Isopoda,Tylidae,Helleria,Helleria brevicornis,779774,43
Insecta,Lepidoptera,Crambidae,Spoladea,Spoladea recurvalis,52043,12915
Arachnida,Araneae,Uloboridae,Hyptiotes,Hyptiotes paradoxus,336036,79
Insecta,Hymenoptera,Siricidae,Tremex,Tremex fuscicornis,631392,239
Insecta,Diptera,Tephritidae,Xyphosia,Xyphosia miliaria,460537,707
Insecta,Psocodea,Caeciliusidae,Caecilius,Caecilius fuscopterus,546151,31
Insecta,Lepidoptera,Nymphalidae,Aglais,Aglais io,207977,40657
Insecta,Diptera,Vermileonidae,Lampromyia,Lampromyia funebris,465722,2
Entognatha,Entomobryomorpha,Isotomidae,Isotoma,Isotoma viridis,313031,52
Insecta,Raphidioptera,Raphidiidae,Dichrostigma,Dichrostigma flavipes,491254,117
Insecta,Lepidoptera,Yponomeutidae,Swammerdamia,Swammerdamia caesiella,232017,215
Insecta,Lepidoptera,Ypsolophidae,Ochsenheimeria,Ochsenheimeria taurella,522757,20
Insecta,Lepidoptera,Zygaenidae,Adscita,Adscita statices,333243,923
Arachnida,Araneae,Phonognathidae,Leviellus,Leviellus stroemi,783396,130
