name,taxon_id,family,count
Aaroniella badonneli,473200,245157,32
Acantholeberis curvirostris,483847,1068393,7
Acanthosoma haemorrhoidale,51149,51159,4709
Acilius sulcatus,130410,57659,591
Acopauropus ornatus,1195707,373019,1
Adela reaumurella,56203,51270,2618
Adelges laricis,430129,61515,32
Aderus populneus,212506,172767,33
Aedes vexans,155387,52134,1022
Aeolothrips collaris,548683,245155,4
Agapetus fuscipes,321932,172831,1
Agathomyia wankowiczii,892440,336703,35
Agelastica alni,210933,51146,9199
Agraylea multipunctata,212803,129646,75
Agrypnus murinus,52406,53248,3944
Agyrtes castaneus,538962,176882,5
Aleyrodes proletella,409563,154784,90
Allacma fusca,356218,171631,329
Alloxysta victrix,385361,203209,2
Alucita hexadactyla,70203,48148,1534
Amaurobius ferox,127022,49550,1066
Amblyteles armatorius,127719,47199,887
Ameles spallanzania,430051,1097048,1356
Anagrus atomus,385562,203203,2
Anaspis maculata,496270,173241,419
Anastatus catalonicus,1127866,176401,6
Anax junius,67731,51469,25693
Andrena fulva,60579,57668,2998
Anelasmocephalus cambridgei,526528,354551,37
Anisolabis maritima,127193,245158,472
Anisotoma humeralis,456778,60571,64
Anoplius viaticus,461636,54028,660
Anoplotrupes stercorosus,125655,60539,15378
Antherophagus pallens,130584,174139,16
Anthidium manicatum,62453,52777,8902
Anthocoris nemorum,359507,174592,713
Anthomyia procellaris,322343,49996,346
Anthophila fabriciana,321979,67432,2879
Anthrenus verbasci,120113,81951,6550
Anurida maritima,203347,83891,453
Anyphaena accentuata,319828,83722,2600
Anystis baccarum,262721,245050,11
Apatania zonella,213884,173235,2
Aphelocheirus aestivalis,546897,360948,43
Apion frumentarium,205779,61949,600
Apis mellifera,47219,47221,257581
Aplocnemus nigricornis,467738,903248,14
Apoda limacodes,324132,84165,1382
Apoderus coryli,60472,60474,1386
Apterygida albipennis,1416568,49528,524
Aquarius paludum,360902,59653,1408
Arachnocephalus vestitus,466305,120481,428
Aradus depressus,204846,61254,278
Argas persicus,263516,123675,3
Arge ochropus,447507,82227,1151
Argiope bruennichi,50867,47535,16956
Argulus foliaceus,467516,144120,12
Argyresthia goedartella,214138,85600,889
Armadillidium vulgare,56083,48296,44469
Armadillo officinalis,319939,85603,682
Armadilloniscus ellipticus,469851,339098,56
Arrhopalites caecus,296634,171235,2
Artemia parthenogenetica,461275,85605,1
Arthroplea congener,987911,173185,1
Asiraca clavicornis,450685,123608,540
Aspidiphorus orbiculatus,924103,176620,9
Asteia amoena,707335,173269,24
Asterodiaspis ilicicola,1153369,321513,6
Atelura formicaria,541898,178895,82
Atemnus politus,1266480,432754,6
Athalia rosae,333154,60628,1531
Atherix ibis,738294,154586,73
Atypus affinis,318905,61443,121
Aulacigaster pappi,1394749,371084,1
Aulacus striatus,476076,145378,4
Austropotamobius pallipes,94974,53709,370
Axia margarita,714432,319909,23
Badonnelia titei,1454169,467077,2
Batrachedra praeangusta,214908,173417,142
Bedellia somnulentella,214958,173416,214
Belisarius xambeui,130034,1286465,34
Bena bicolorana,360836,52873,665
Beraea pullata,533441,173415,2
Bertkauia lucifuga,1071237,245143,106
Bethylus cephalotes,498476,203283,1
Bibio marci,56096,56097,1116
Biphyllus lunatus,577756,173920,48
Bitoma crenata,215232,47592,399
Bittacus italicus,856422,49363,17
Blaniulus guttulatus,133831,133832,283
Blasticotoma filiceti,856298,856577,3
Blastobasis phycidella,319549,173093,40
Blastophaga psenes,653247,121523,10
Blattella germanica,121237,1425419,1620
Blepharicera fasciata,627633,49361,2
Bombylius major,51557,51558,11906
Boreus hyemalis,430143,173350,35
Bosmina longirostris,203468,171264,34
Bostrichus capucinus,358395,47625,170
Bothrideres bipunctatus,625715,173345,44
Bourletiella hortensis,386771,179535,95
Brachodes funebris,466370,123028,13
Brachycentrus maculatus,1199836,172761,4
Brachymeria podagrica,264880,121516,102
Brachypauropus hamiger,1389676,372963,1
Brachypterus urticae,215401,332219,32
Brachystomella parvula,296566,205710,2
Branchipus schaefferi,856252,85646,140
Braula coeca,510331,56882,2
Bryocamptus vejdovskyi,988390,85656,1
Bucculatrix thoracella,207526,173305,77
Buthus occitanus,127312,119058,433
Bythotrephes longimanus,199410,171272,19
Byturus ochraceus,130843,130844,273
Caecosphaeroma burgundum,1362572,49532,3
Caenis horaria,546137,173246,6
Calameuta filiformis,494327,143247,48
Calamoceras marsupus,1138568,173239,4
Caliscelis bonellii,325773,173236,47
Callipus foetidissimus,919441,919443,15
Calophya rhois,1089288,326724,5
Calopteryx splendens,51824,47929,13415
Calyptomerus dubius,655057,174593,1
Campichoeta punctum,1200277,981207,3
Campodea augens,1241305,56214,1
Camptopus lateralis,326890,62059,1824
Canestrinia dorcicola,1469410,246200,1
Capnia vidua,495426,172900,2
Capnodis tenebrionis,336708,54964,1057
Carabus nemoralis,56552,49567,7257
Carcina quercana,205221,1240139,1828
Carnus hemapterus,943533,329801,1
Centrotus cornutus,362433,49024,1500
Cepheia longiseta,783806,416718,10
Cephenemyia stimulator,626816,154882,114
Cerapterocerus mirabilis,299284,69778,4
Ceratocombus coleoptratus,887462,372971,9
Ceratophyllus hirundinis,424347,245153,2
Ceratophysella denticulata,85251,125614,1
Cercopis vulnerata,61862,61863,7592
Cerobasis guestfalica,245799,245141,130
Cerophytum elateroides,1044466,47887,7
Cerylon histeroides,547841,174498,24
Cetonana laticeps,786804,416721,43
Chaetodactylus osmiae,1459452,429826,1
Chalcolestes viridis,124488,47930,4932
Chaoborus flavicans,129900,129901,5
Cheiracanthium mildei,61869,808367,1471
Cheiridium museorum,656880,172467,1
Chelifer cancroides,409775,245019,342
Chilacis typhae,467709,372918,133
Chimarra marginata,469226,154581,90
Chloromyia formosa,326598,70127,4009
Chordeuma proximum,336964,336973,2
Chrysoclista linneella,364095,81988,160
Chrysopa perla,52424,52425,1358
Chrysops relictus,130392,47821,897
Chthonius ischnocheles,750924,172429,3
Chyromya oppidana,712448,329822,2
Cicada orni,243961,50186,2634
Cicadella viridis,52447,53237,3143
Cicurina cicur,446772,153505,118
Cimberis attelaboides,748585,174369,24
Cimbex femoratus,333695,53844,958
Cimex lectularius,69658,53667,384
Cixidia pilatoi,739606,174056,8
Cleonymus laticornis,1076513,1426984,2
Cloeon dipterum,217219,48009,328
Clogmia albipunctata,258813,52071,12291
Clonopsis gallica,337089,337090,693
Clubiona comta,362800,121773,53
Clusia tigrina,605917,157184,37
Coccinella septempunctata,51702,48486,98013
Coccophagus lycimnia,298823,201669,2
Coelopa frigida,194032,194033,103
Coenomyia ferruginea,465810,120352,321
Coleophora mayrella,321675,85704,227
Colletes hederae,433481,127740,1187
Compsothrips albosignatus,1103438,143336,19
Conwentzia psociformis,454958,245154,10
Coptosoma scutellatum,470124,60795,650
Cordulegaster boltonii,85057,57448,2561
Cordulia aenea,61429,61430,1838
Coreus marginatus,318545,51777,18636
Corizus hyoscyami,51707,53225,5144
Cortinicara gibbosa,174190,131059,32
Cossus cossus,362611,122745,4926
Cryphoeca silvicola,781406,52950,17
Cryptococcus fagisuga,54061,48026,622
Cryptops hortensis,336908,154635,34
Cryptorchestia garbinii,1085852,63288,5
Cryptostemma alienum,887463,343550,1
Cteniza sauvagesi,416698,57327,11
Ctenocephalides felis,311218,122216,76
Cucujus cinnaberinus,98787,85716,226
Culicoides impunctatus,467165,69803,6
Cybocephalus politus,989639,373331,2
Cychramus luteus,174082,126791,500
Cydia pomonella,47153,47155,3584
Cylindrotoma distinctissima,703293,60419,7
Cylisticus convexus,130170,130171,732
Cymus melanocephalus,556558,373002,125
Cynips quercusfolii,119642,55594,3509
Cyphoderus albinus,467025,245389,6
Cyrtus gibbus,324345,176389,51
Cytilus sericeus,487447,130840,119
Dactylopius opuntiae,335785,202092,191
Daktulosphaira vitifoliae,324587,319318,2638
Damaeus onustus,554920,172485,6
Dascillus cervinus,343019,128710,429
Dasypoda hirtipes,746682,154651,1280
Dendrophagus crenatus,876597,172901,58
Deraeocoris ruber,451784,53505,5049
Dermanyssus gallinae,263331,245182,2
Dermatophagoides farinae,262970,245205,1
Diacyclops bicuspidatus,218302,85718,9
Diadocidia ferruginosa,990629,354856,1
Diastata fuscula,542821,541547,1
Dichatomus acerinus,559275,85012,28
Dicranocephalus agilis,327167,327170,434
Dicranolasma soerensenii,526526,525956,14
Dictyla echii,437831,53506,380
Dictyophara europaea,550657,53509,445
Dicyrtomina ornata,205720,55168,758
Dinocampus coccinellae,128244,63187,266
Dioctria hyalipennis,135239,47982,4259
Dipara petiolata,629299,1426986,2
Dipljapyx humberti,877818,56218,2
Diplolepis rosae,205320,1501094,8476
Diprion similis,62626,49453,1722
Discomyza incurva,552407,84670,111
Distoleon tetragrammicus,119248,49358,1895
Ditomyia fasciata,624685,245527,7
Diurnea fagella,142778,452365,1002
Dixa nebulosa,1200092,245356,2
Dolichopoda azami,447928,61441,60
Dolichurus corniculus,990861,186860,8
Drosophila immigrans,329845,67742,300
Dryadaula heindeli,481678,531706,2
Dryinus collaris,633541,203211,2
Dysdera crocata,68912,69200,6511
Dyseriocrania subpurpurella,325266,173582,127
Eatoniana plumipes,912509,121478,20
Echinophthirius horridus,1105895,330603,1
Ecnomus tenellus,546185,83730,115
Ectobius lapponicus,203409,461451,1995
Ectopsocus petersi,321933,245131,265
Elenchus tenuicornis,663806,372987,2
Embia ramburi,712309,245142,7
Embolemus ruddii,1462659,244995,1
Emmelina monodactyla,127431,47404,9637
Empidideicus hackmani,1372753,447973,2
Empis tessellata,461172,49460,701
Empusa pennata,55122,51924,2546
Endomychus coccineus,504738,173237,1095
Endromis versicolora,128214,124755,469
Eoleptestheria ticinensis,1138283,153159,1
Ephemera danica,452500,48008,983
Ephoron virgo,546144,81982,19
Epiphragma ocellare,357312,47992,275
Eratigena duellica,750907,47345,2463
Eresus kollari,202770,62051,522
Eriocottis paradoxella,468426,177611,36
Eriophyes tiliae,319872,55584,4577
Eristalis tenax,55719,49995,39838
Ero aphana,746529,60351,134
Erythracarus pyrrholeucus,868744,625770,30
Ethmia bipunctella,219582,423543,1784
Eubranchipus grubii,460501,85684,41
Eubria palustris,991357,143858,2
Eucinetus haemorrhoidalis,219638,173492,21
Eurodachtha pallicornella,470955,82090,66
Eurycercus lamellatus,338152,533837,8
Eurygaster maura,327173,49525,1270
Eurytetranychus buxi,903829,128552,667
Eurytoma amygdali,962049,69751,5
Euscorpius flavicaudis,118942,56545,380
Eutelia adulatrix,71196,122126,391
Euthyas truncata,296933,245033,1
Fallenia fasciata,513784,120090,40
Fannia canicularis,121213,121214,70
Filistata insidiatrix,468121,49331,319
Gallocaris inermis,434917,85614,2
Gammarus lacustris,220287,59806,235
Gasteruption jaculator,472957,244996,65
Geocoris erythrocephalus,709890,146952,281
Geogarypus minor,917008,432741,1
Geomantis larvoides,468008,1097047,193
Geomyza tripunctata,326614,326615,235
Georissus crenulatus,624443,456677,1
Gigantodiaptomus amblyodon,1254906,85732,1
Glomeris marginata,56078,56080,1902
Glyphipterix simpliciella,354734,173889,269
Glyphotaelius pellucidus,324273,130015,961
Goera pilosa,482049,148208,113
Gracillaria syringella,320060,61353,418
Graphopsocus cruciatus,200017,200019,2899
Gryllotalpa gryllotalpa,71219,71220,1348
Gryllus campestris,71248,52884,5207
Grynocharis oblonga,101831,903246,47
Gryon misellum,485043,1078214,3
Halictus scabiosae,415589,49707,4705
Halophiloscia couchii,469862,469880,49
Hamearis lucina,133154,59166,1501
Haploembia solieri,56835,56836,50
Haplophthalmus danicus,220920,86114,722
Hebrus pusillus,624522,178192,18
Hedychrum rutilans,469708,126149,459
Helcomyza ustulata,775651,373033,8
Heliodines roesella,1047934,82516,5
Heliozela resplendella,522499,126380,7
Helophorus grandis,131106,1156101,7
Helorus anomalipes,853749,371087,5
Henia vesuviana,68721,133161,162
Heptagenia sulphurea,482035,48006,46
Heptamelus ochroleucus,992619,1398093,1
Heterocerus fenestratus,733190,174627,116
Heterocypris incongruens,210271,85722,7
Heterogaster urticae,390463,177890,616
Heterogynis penella,320875,320876,15
Heydenia pretiosa,957597,1426991,4
Himacerus mirmicoides,130127,129878,2640
Himantarium gabrielis,513922,69828,87
Hirsutiella zachvatkini,1193199,245044,1
Hirudisoma latum,1497788,154911,2
Hofmannophila pseudospretella,129570,81690,3485
Hogna radiata,326871,47416,3955
Hololepta plana,343748,68869,138
Holopedium gibberum,483820,483821,4
Holoscotolemon querilhaci,526493,172615,45
Homotoma ficus,474753,372899,82
Hybosorus illigeri,908673,174507,344
Hydrachna geographica,491296,373047,1
Hydraena testacea,978755,176632,2
Hydrobius fuscipes,221612,127444,275
Hydrochus crenatus,992874,1156100,3
Hydrodroma despiciens,262582,245039,2
Hydrogamasus littoralis,1357748,245171,1
Hydrometra stagnorum,327185,177751,753
Hydropsyche exocellata,1115664,62163,12
Hydroscapha granulum,1231348,322188,1
Hygrobia hermanni,547330,483657,36
Ibalia leucospoides,209083,48004,19
Ilyocoris cimicoides,358327,67615,443
Ilyocryptus sordidus,338149,338151,1
Imnadia yeyetta,1076475,153160,4
Incurvaria masculella,205344,51268,300
Infurcitinea atrifasciella,468456,504832,18
Iphidosoma fimetarium,1045716,245177,1
Iris oratoria,67437,349368,2895
Ischnodemus sabuleti,510323,489050,398
Ischnura elegans,61508,47925,17882
Ischyropsalis luteipes,525948,525950,19
Ismarus dorsiger,1368621,246225,5
Isoscelipteron glaserellum,557605,177315,22
Issus coleoptratus,141761,56579,1602
Ixodes ricinus,51671,51673,1539
Kalaphorura burmeisteri,980857,171694,27
Kalotermes flavicollis,245870,143496,326
Kermes roboris,737435,49027,6
Kleidocerys resedae,261586,55558,4874
Labidura riparia,307026,85850,1651
Lachesilla pedicularia,270880,245115,6
Lagria hirta,324093,53816,2473
Lagynodes pallidus,1082188,367445,4
Lampronia rupella,548965,63177,78
Lampyris noctiluca,143617,47731,3322
Lasioderma serricorne,47493,82167,214
Lasius fuliginosus,124150,47336,2464
Leiobunum rotundum,154449,57325,1858
Lemonia dumi,578767,179915,81
Lepidosaphes ulmi,391478,48093,65
Lepidostoma hirtum,208049,125808,25
Lepisma chlorosoma,1158040,48300,29
Leptodora kindtii,1019939,127517,9
Leptopsylla segnis,307814,245118,1
Leptopus marmoratus,521452,470010,46
Lernaea cyprinacea,739842,354113,6
Leucospis dorsigera,466441,245000,89
Leuctra hippopus,498597,148187,7
Libellula quadrimaculata,57443,47819,15970
Lichtensia viburni,636852,49456,11
Ligia oceanica,55356,55357,1020
Limnaecia phragmitella,223680,82340,1447
